Time(s),Power_V(dBm),Power_H(dBm)
0.0,19.26,14.45
0.1,19.34,14.53
0.2,19.39,14.59
0.3,19.48,16.98
0.4,19.62,14.81
0.5,19.48,15.92
0.6,19.42,15.03
0.7,19.34,15.2
0.8,19.23,15.34
0.9,19.14,14.38
1.0,19.06,15.73
1.1,19.03,15.78
1.2,19.01,15.92
1.3,18.92,16.09
1.4,18.92,16.23
1.5,18.92,16.48
1.6,18.92,16.67
1.7,18.92,16.78
1.8,18.92,16.87
1.9,19.06,17.52
2.0,19.17,17.09
2.1,19.17,17.12
2.2,19.28,17.23
2.3,19.37,17.31
2.4,19.48,17.4
2.5,19.56,17.48
2.6,19.59,17.53
2.7,19.59,17.56
2.8,19.64,17.62
2.9,19.73,17.67
3.0,19.81,17.67
3.1,19.87,17.81
3.2,19.87,18.3
3.3,19.87,18.3
3.4,19.81,17.92
3.5,19.76,18.01
3.6,19.7,18.01
3.7,19.7,18.06
3.8,19.7,18.59
3.9,19.7,18.15
4.0,19.7,18.17
4.1,19.7,18.17
4.2,19.7,18.17
4.3,19.7,18.15
4.4,19.7,18.15
4.5,19.7,18.15
4.6,19.76,18.12
4.7,19.81,18.12
4.8,19.81,18.12
4.9,19.87,18.06
5.0,19.87,18.04
5.1,19.87,17.9
5.2,19.89,17.9
5.3,19.89,17.79
5.4,19.89,17.67
5.5,19.87,17.59
5.6,19.89,17.59
5.7,19.89,17.53
5.8,19.87,17.42
5.9,19.92,17.34
6.0,19.92,17.23
6.1,19.92,17.06
6.2,19.92,17.01
6.3,19.92,16.89
6.4,19.92,16.78
6.5,19.98,16.62
6.6,19.98,16.48
6.7,19.95,16.25
6.8,19.98,16.09
6.9,19.98,15.92
7.0,19.98,15.7
7.1,20.01,15.51
7.2,19.98,15.36
7.3,19.98,15.03
7.4,19.98,14.95
7.5,19.98,14.67
7.6,19.98,14.34
7.7,19.95,14.08
7.8,19.98,13.89
7.9,19.98,13.7
8.0,19.95,13.61
8.1,19.95,13.47
8.2,19.95,13.25
8.3,19.92,13.11
8.4,19.95,13.03
8.5,19.95,13.0
8.6,19.98,12.92
8.7,19.95,12.89
8.8,19.98,12.89
8.9,19.98,12.92
9.0,19.98,12.86
9.1,19.98,12.92
9.2,19.98,13.17
9.3,19.98,13.22
9.4,20.01,13.33
9.5,20.03,13.44
9.6,20.03,15.94
9.7,20.02,13.83
9.8,20.03,14.11
9.9,20.03,14.34
10.0,20.03,14.42
10.1,20.03,18.41
10.2,20.03,14.72
10.3,20.03,14.89
10.4,20.03,15.09
10.5,19.98,15.2
10.6,20.03,15.42
10.7,19.98,15.61
10.8,19.98,15.87
10.9,19.92,15.81
11.0,19.87,15.98
11.1,19.81,16.06
11.2,19.78,16.28
11.3,19.76,16.56
11.4,19.73,16.73
11.5,19.7,16.84
11.6,19.7,16.89
11.7,19.67,16.89
11.8,19.7,17.01
11.9,19.76,17.12
12.0,19.78,17.15
12.1,19.81,17.15
12.2,19.81,17.2
12.3,19.81,17.26
12.4,19.81,17.34
12.5,19.81,17.34
12.6,19.81,17.34
12.7,19.81,17.42
12.8,19.78,17.56
12.9,19.73,17.56
13.0,19.73,17.67
13.1,19.7,17.67
